@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzM4MjI2OSc=""",inc,5637382269,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001005",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1700,,Yes,,,SPC-001005,"ESCALAS 0430LC",Table,Arm-SO1035/Top-SO1114,Arm-SO1035-/Top-SO1114-
"W/""JzEsNTYzNzM4MjI3NCc=""",inc,5637382274,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001010",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1770,,Yes,,,SPC-001010,"ESCALAS 0430LC",Table,Arm-SO1035/Top-SO1115,Arm-SO1035-/Top-SO1115-
"W/""JzEsNTYzNzM4MjI3MCc=""",inc,5637382270,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001006",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1610,,Yes,,,SPC-001006,"ESCALAS 0430LC",Table,Arm-SO1039/Top-SO1114,Arm-SO1039-/Top-SO1114-
"W/""JzEsNTYzNzM4MjI3MSc=""",inc,5637382271,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001007",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1880,,Yes,,,SPC-001007,"ESCALAS 0430LC",Table,Arm-SO1082/Top-SO1114,Arm-SO1082-/Top-SO1114-
"W/""JzEsNTYzNzM4MjI3Mic=""",inc,5637382272,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001008",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2150,,Yes,,,SPC-001008,"ESCALAS 0430LC",Table,Arm-SO1084/Top-SO1114,Arm-SO1084-/Top-SO1114-
"W/""JzEsNTYzNzM4MjI3Myc=""",inc,5637382273,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001009",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2870,,Yes,,,SPC-001009,"ESCALAS 0430LC",Table,Arm-SO1287/Top-SO1114,Arm-SO1287-/Top-SO1114-
"W/""JzEsNTYzNzM4MjI3NSc=""",inc,5637382275,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001011",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1690,,Yes,,,SPC-001011,"ESCALAS 0430LC",Table,Arm-SO1039/Top-SO1115,Arm-SO1039-/Top-SO1115-
"W/""JzEsNTYzNzM4MjI3Nic=""",inc,5637382276,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001012",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1940,,Yes,,,SPC-001012,"ESCALAS 0430LC",Table,Arm-SO1082/Top-SO1115,Arm-SO1082-/Top-SO1115-
"W/""JzEsNTYzNzM4MjI3Nyc=""",inc,5637382277,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001013",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2220,,Yes,,,SPC-001013,"ESCALAS 0430LC",Table,Arm-SO1084/Top-SO1115,Arm-SO1084-/Top-SO1115-
"W/""JzEsNTYzNzM4MjI3OCc=""",inc,5637382278,2024-03-04T12:00:00Z,Yes,1,EACH,"ESCALAS 0430LC :  : SPC-001014",,,"ESCALAS 0430LC",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2950,,Yes,,,SPC-001014,"ESCALAS 0430LC",Table,Arm-SO1287/Top-SO1115,Arm-SO1287-/Top-SO1115-
